time_stamp	px_state	py_state	v_state	yaw_state	yaw_rate_state	sensor type	NIS
1477010446950000	18.7042	7.1625	4.93845	1.01212	0.393246	1	0.726811
1477010447000000	18.9087	7.29128	4.88138	0.976874	0.320317	0	4.16863
1477010447050000	18.9923	7.50006	4.82081	1.03004	0.399458	1	4.10097
1477010447100000	19.0806	7.76347	4.87304	1.08066	0.440191	0	1.05196
1477010447150000	19.2026	7.96994	4.87291	1.09198	0.419219	1	0.333918
1477010447200000	19.2813	8.18516	4.85303	1.12459	0.435372	0	1.34299
1477010447250000	19.3818	8.39482	4.8524	1.13551	0.406229	1	2.30411
1477010447300000	19.48	8.53974	4.74896	1.13526	0.381645	0	3.97623
1477010447350000	19.5699	8.74972	4.72769	1.16136	0.400915	1	0.579343
1477010447400000	19.737	8.91785	4.69547	1.1372	0.34309	0	4.15492
1477010447450000	19.8074	9.14202	4.67819	1.17929	0.39613	1	1.05514
1477010447500000	19.9396	9.36466	4.70614	1.18147	0.372055	0	2.97278
1477010447550000	19.9797	9.59231	4.6705	1.24075	0.458397	1	2.58603
1477010447600000	20.0663	9.8307	4.69957	1.26185	0.455282	0	0.753341
1477010447650000	20.1276	10.0791	4.74238	1.28485	0.439728	1	7.19655
1477010447700000	20.1732	10.3516	4.79972	1.32471	0.461432	0	0.849964
1477010447750000	20.1851	10.5923	4.78194	1.38226	0.530702	1	2.5964
1477010447800000	20.2425	10.8629	4.83723	1.40857	0.528428	0	2.03205
1477010447850000	20.2727	11.1194	4.86902	1.43293	0.511144	1	4.92542
1477010447900000	20.3066	11.3565	4.8637	1.45618	0.50846	0	0.010427
1477010447950000	20.2456	11.6109	4.84471	1.55048	0.649957	1	9.56095
1477010448000000	20.3182	11.8474	4.84243	1.55103	0.609861	0	5.21182
1477010448050000	20.3499	12.0804	4.84894	1.53897	0.504034	1	4.2279
1477010448100000	20.3362	12.3655	4.91314	1.57588	0.515454	0	1.02667
1477010448150000	20.2831	12.6061	4.8922	1.64426	0.610896	1	2.71669
1477010448200000	20.309	12.8432	4.87929	1.65406	0.585878	0	2.08339
1477010448250000	20.2974	13.0756	4.86229	1.678	0.580913	1	2.12248
1477010448300000	20.2617	13.2879	4.81996	1.70855	0.5847	0	1.00221
1477010448350000	20.2243	13.5236	4.82077	1.72952	0.55786	1	1.35288
1477010448400000	20.2049	13.7806	4.84565	1.74836	0.545685	0	1.37853
1477010448450000	20.1485	14.0088	4.83128	1.78675	0.573079	1	0.772441
1477010448500000	20.0936	14.2625	4.85941	1.81504	0.571465	0	0.344369
1477010448550000	20.0219	14.4922	4.85639	1.84444	0.566173	1	1.35478
1477010448600000	19.9131	14.7456	4.90203	1.88823	0.583116	0	1.06806
1477010448650000	19.8477	14.9647	4.8806	1.89867	0.534538	1	3.42173
1477010448700000	19.82	15.182	4.83846	1.90466	0.511383	0	2.28554
1477010448750000	19.6842	15.3905	4.82344	1.9989	0.687164	1	7.44592
1477010448800000	19.6552	15.5777	4.74048	2.00646	0.658086	0	3.87053
1477010448850000	19.5635	15.7836	4.72412	2.02805	0.630205	1	1.46025
1477010448900000	19.4591	15.996	4.72562	2.05806	0.628338	0	0.023297
1477010448950000	19.3596	16.2055	4.72086	2.06495	0.561425	1	1.97018
1477010449000000	19.2508	16.3826	4.67657	2.09473	0.565416	0	0.691227
1477010449050000	19.133	16.5793	4.66977	2.12431	0.570282	1	0.276391
1477010449100000	19.0033	16.7893	4.69106	2.15228	0.568765	0	0.138168
1477010449150000	18.8454	16.9795	4.70746	2.2227	0.682388	1	6.18632
1477010449200000	18.6702	17.2135	4.79655	2.25823	0.680388	0	1.86129
1477010449250000	18.5709	17.4212	4.77154	2.22333	0.509073	1	6.25833
1477010449300000	18.358	17.6131	4.83289	2.27005	0.531407	0	3.80331
1477010449350000	18.221	17.8063	4.82472	2.26588	0.451098	1	1.88194
1477010449400000	18.0927	17.9941	4.8051	2.27833	0.440051	0	0.88183
1477010449450000	17.9153	18.1462	4.78877	2.33127	0.514866	1	2.41227
1477010449500000	17.786	18.2897	4.71872	2.35151	0.510612	0	1.10466
1477010449550000	17.6525	18.4709	4.70269	2.3572	0.476751	1	6.48365
1477010449600000	17.4594	18.6537	4.74993	2.38391	0.478706	0	0.486335
1477010449650000	17.2777	18.7934	4.73468	2.42517	0.519669	1	1.91573
1477010449700000	17.1173	18.9305	4.69553	2.4495	0.518865	0	0.324414
1477010449750000	16.9499	19.1009	4.70382	2.4603	0.491388	1	2.93519
1477010449800000	16.7331	19.2167	4.7062	2.50214	0.511739	0	2.78962
1477010449850000	16.5427	19.3695	4.72447	2.52878	0.523492	1	3.24769
1477010449900000	16.3176	19.531	4.78867	2.55445	0.520759	0	0.861568
